year, state, month, number, date
1998, Acre, Janeiro, 0, 1998-01-01
1999, Acre, Janeiro, 0, 1999-01-01
2000, Acre, Janeiro, 0, 2000-01-01
2001, Acre, Janeiro, 0, 2001-01-01
2002, Acre, Janeiro, 0, 2002-01-01
2003, Acre, Janeiro, 10, 2003-01-01
2004, Acre, Janeiro, 0, 2004-01-01
2005, Acre, Janeiro, 12, 2005-01-01
2006, Acre, Janeiro, 4, 2006-01-01
2007, Acre, Janeiro, 0, 2007-01-01
2008, Acre, Janeiro, 0, 2008-01-01
2009, Acre, Janeiro, 0, 2009-01-01
2010, Acre, Janeiro, 1, 2010-01-01
2011, Acre, Janeiro, 0, 2011-01-01
2012, Acre, Janeiro, 0, 2012-01-01
2013, Acre, Janeiro, 0, 2013-01-01
2014, Acre, Janeiro, 0, 2014-01-01
2015, Acre, Janeiro, 1, 2015-01-01
2016, Acre, Janeiro, 12, 2016-01-01
2017, Acre, Janeiro, 0, 2017-01-01
1998, Acre, Fevereiro, 0, 1998-01-01
1999, Acre, Fevereiro, 0, 1999-01-01
2000, Acre, Fevereiro, 0, 2000-01-01
2001, Acre, Fevereiro, 0, 2001-01-01
2002, Acre, Fevereiro, 1, 2002-01-01
2003, Acre, Fevereiro, 0, 2003-01-01
2004, Acre, Fevereiro, 3, 2004-01-01
2005, Acre, Fevereiro, 0, 2005-01-01
2006, Acre, Fevereiro, 0, 2006-01-01
2007, Acre, Fevereiro, 5, 2007-01-01
2008, Acre, Fevereiro, 0, 2008-01-01
2009, Acre, Fevereiro, 2, 2009-01-01
2010, Acre, Fevereiro, 0, 2010-01-01
2011, Acre, Fevereiro, 0, 2011-01-01
2012, Acre, Fevereiro, 0, 2012-01-01
2013, Acre, Fevereiro, 0, 2013-01-01
2014, Acre, Fevereiro, 0, 2014-01-01
2015, Acre, Fevereiro, 2, 2015-01-01
2016, Acre, Fevereiro, 5, 2016-01-01
2017, Acre, Fevereiro, 1, 2017-01-01
1998, Acre, Marco, 0, 1998-01-01
1999, Acre, Marco, 0, 1999-01-01
2000, Acre, Marco, 11, 2000-01-01
